Player,Team,Nation,Pos,Age,MP,Min,Gls,Ast,PK,CrdY,CrdR,Gls_Y
Emil Krafth,Newcastle United,se SWE,DF,26.0,20,1634.0,0.0,1.0,0.0,5.0,0.0,0
Ryan Fraser,Newcastle United,sct SCO,FW,27.0,27,1465.0,2.0,3.0,0.0,3.0,0.0,1
Dan Burn,Newcastle United,eng ENG,DF,29.0,16,1440.0,0.0,1.0,0.0,4.0,0.0,0
Matt Targett,Newcastle United,eng ENG,DF,25.0,16,1440.0,0.0,0.0,0.0,1.0,0.0,0
Callum Wilson,Newcastle United,eng ENG,FW,29.0,18,1386.0,8.0,0.0,2.0,4.0,0.0,1
Sean Longstaff,Newcastle United,eng ENG,MF,23.0,24,1464.0,1.0,1.0,0.0,1.0,0.0,1
Chris Wood,Newcastle United,nz NZL,FW,29.0,17,1327.0,2.0,0.0,1.0,0.0,0.0,1
Javier Manquillo,Newcastle United,es ESP,DF,27.0,19,1257.0,1.0,2.0,0.0,5.0,0.0,1
Matt Ritchie,Newcastle United,sct SCO,DF,31.0,18,1337.0,0.0,2.0,0.0,5.0,0.0,0
Jacob Murphy,Newcastle United,eng ENG,FW,26.0,33,1473.0,1.0,2.0,0.0,4.0,0.0,1
Ciaran Clark,Newcastle United,ie IRL,DF,31.0,13,1014.0,0.0,1.0,0.0,2.0,1.0,0
Isaac Hayden,Newcastle United,eng ENG,MF,26.0,14,1002.0,1.0,0.0,0.0,5.0,0.0,1
Bruno Guimarães,Newcastle United,br BRA,MF,23.0,17,1034.0,5.0,1.0,0.0,4.0,0.0,1
Karl Darlow,Newcastle United,eng ENG,GK,30.0,8,720.0,0.0,0.0,0.0,1.0,0.0,0
Federico Fernández,Newcastle United,ar ARG,DF,32.0,7,523.0,0.0,0.0,0.0,0.0,0.0,0
Kieran Trippier,Newcastle United,eng ENG,DF,30.0,6,429.0,2.0,0.0,0.0,0.0,0.0,1
Freddie Woodman,Newcastle United,eng ENG,GK,24.0,4,360.0,0.0,0.0,0.0,0.0,0.0,0
Jamal Lewis,Newcastle United,nir NIR,DF,23.0,5,262.0,0.0,0.0,0.0,1.0,0.0,0
Paul Dummett,Newcastle United,wls WAL,DF,29.0,3,198.0,0.0,0.0,0.0,2.0,0.0,0
Jeff Hendrick,Newcastle United,ie IRL,MF,29.0,3,72.0,1.0,0.0,0.0,0.0,0.0,1
Dwight Gayle,Newcastle United,eng ENG,FW,30.0,8,38.0,0.0,0.0,0.0,1.0,0.0,0
Teemu Pukki,Norwich City,fi FIN,FW,31.0,37,3253.0,11.0,3.0,3.0,4.0,0.0,1
Grant Hanley,Norwich City,sct SCO,DF,29.0,33,2897.0,1.0,0.0,0.0,2.0,0.0,1
Max Aarons,Norwich City,eng ENG,DF,21.0,34,2881.0,0.0,2.0,0.0,8.0,0.0,0
Kenny McLean,Norwich City,sct SCO,MF,29.0,31,2706.0,1.0,0.0,0.0,3.0,0.0,1
Tim Krul,Norwich City,nl NED,GK,33.0,29,2610.0,0.0,0.0,0.0,1.0,0.0,0
Ben Gibson,Norwich City,eng ENG,DF,28.0,28,2494.0,0.0,0.0,0.0,5.0,1.0,0
Pierre Lees-Melou,Norwich City,fr FRA,MF,28.0,33,2265.0,1.0,0.0,0.0,5.0,0.0,1
Milot Rashica,Norwich City,xk KVX,FW,25.0,31,2229.0,1.0,2.0,0.0,0.0,0.0,1
Brandon Williams,Norwich City,eng ENG,DF,20.0,26,2120.0,0.0,1.0,0.0,8.0,0.0,0
Billy Gilmour,Norwich City,sct SCO,MF,20.0,24,1855.0,0.0,1.0,0.0,2.0,0.0,0
Mathias Normann,Norwich City,no NOR,MF,25.0,23,1645.0,1.0,2.0,0.0,6.0,0.0,1
Josh Sargent,Norwich City,us USA,FW,21.0,26,1572.0,2.0,1.0,0.0,1.0,0.0,1
Dimitris Giannoulis,Norwich City,gr GRE,DF,25.0,18,1169.0,0.0,1.0,0.0,2.0,0.0,0
Sam Byram,Norwich City,eng ENG,DF,27.0,15,1027.0,0.0,0.0,0.0,3.0,0.0,0
Ozan Kabak,Norwich City,tr TUR,DF,21.0,11,922.0,0.0,0.0,0.0,2.0,0.0,0
Kieran Dowell,Norwich City,eng ENG,FW,23.0,19,912.0,1.0,1.0,0.0,0.0,0.0,1
Angus Gunn,Norwich City,eng ENG,GK,25.0,9,810.0,0.0,0.0,0.0,0.0,0.0,0
Lukas Rupp,Norwich City,de GER,MF,30.0,19,769.0,0.0,0.0,0.0,0.0,0.0,0
Adam Idah,Norwich City,ie IRL,FW,20.0,17,625.0,1.0,1.0,0.0,0.0,0.0,1
Jakob Sørensen,Norwich City,dk DEN,MF,23.0,10,604.0,0.0,0.0,0.0,0.0,0.0,0
Przemys?aw P?acheta,Norwich City,pl POL,FW,23.0,12,504.0,0.0,0.0,0.0,1.0,0.0,0
Todd Cantwell,Norwich City,eng ENG,FW,23.0,8,441.0,0.0,0.0,0.0,2.0,0.0,0
Andrew Omobamidele,Norwich City,ie IRL,DF,19.0,5,382.0,1.0,0.0,0.0,1.0,0.0,1
Christos Tzolis,Norwich City,gr GRE,FW,19.0,14,336.0,0.0,0.0,0.0,0.0,0.0,0
Christoph Zimmermann,Norwich City,de GER,DF,28.0,3,157.0,0.0,0.0,0.0,0.0,0.0,0
Tony Springett,Norwich City,eng ENG,FW,18.0,3,141.0,0.0,0.0,0.0,1.0,0.0,0
Jon Rowe,Norwich City,eng ENG,FW,18.0,13,223.0,0.0,1.0,0.0,0.0,0.0,0
Bali Mumba,Norwich City,eng ENG,DF,19.0,1,45.0,0.0,0.0,0.0,0.0,0.0,0
James Ward-Prowse,Southampton,eng ENG,MF,26.0,36,3215.0,10.0,5.0,4.0,3.0,1.0,1
Oriol Romeu,Southampton,es ESP,MF,29.0,36,2889.0,2.0,2.0,0.0,9.0,0.0,1
Mohammed Salisu,Southampton,gh GHA,DF,22.0,34,2972.0,0.0,0.0,0.0,10.0,1.0,0
Jan Bednarek,Southampton,pl POL,DF,25.0,31,2629.0,4.0,0.0,0.0,10.0,0.0,1
Kyle Walker-Peters,Southampton,eng ENG,DF,24.0,32,2633.0,1.0,2.0,0.0,5.0,0.0,1
Valentino Livramento,Southampton,eng ENG,DF,18.0,28,2202.0,1.0,1.0,0.0,2.0,0.0,1
Mohamed Elyounoussi,Southampton,no NOR,MF,26.0,30,2042.0,4.0,2.0,0.0,4.0,0.0,1
Che Adams,Southampton,sct SCO,FW,25.0,30,2039.0,7.0,3.0,0.0,0.0,0.0,1
Armando Broja,Southampton,al ALB,FW,19.0,32,1975.0,6.0,0.0,0.0,2.0,0.0,1
Nathan Redmond,Southampton,eng ENG,MF,27.0,27,1833.0,1.0,5.0,0.0,0.0,0.0,1
Fraser Forster,Southampton,eng ENG,GK,33.0,19,1710.0,0.0,0.0,0.0,1.0,0.0,0
Romain Perraud,Southampton,fr FRA,DF,23.0,20,1623.0,0.0,1.0,0.0,3.0,0.0,0
Alex McCarthy,Southampton,eng ENG,GK,31.0,17,1530.0,0.0,0.0,0.0,1.0,0.0,0
Adam Armstrong,Southampton,eng ENG,FW,24.0,23,1413.0,2.0,2.0,0.0,1.0,0.0,1
Stuart Armstrong,Southampton,sct SCO,MF,29.0,25,1473.0,2.0,0.0,0.0,1.0,0.0,1
Ibrahima Diallo,Southampton,fr FRA,MF,22.0,23,1023.0,0.0,2.0,0.0,1.0,0.0,0
Nathan Tella,Southampton,eng ENG,MF,22.0,14,804.0,0.0,1.0,0.0,2.0,0.0,0
Lyanco,Southampton,br BRA,DF,24.0,15,911.0,0.0,0.0,0.0,2.0,0.0,0
Jack Stephens,Southampton,eng ENG,DF,27.0,11,811.0,0.0,0.0,0.0,3.0,0.0,0
Moussa Djenepo,Southampton,ml MLI,MF,23.0,12,457.0,0.0,0.0,0.0,3.0,0.0,0
Theo Walcott,Southampton,eng ENG,MF,32.0,9,379.0,0.0,0.0,0.0,0.0,0.0,0
Yan Valery,Southampton,fr FRA,DF,22.0,5,370.0,0.0,0.0,0.0,0.0,0.0,0
Shane Long,Southampton,ie IRL,FW,34.0,13,308.0,1.0,0.0,0.0,1.0,0.0,1
Willy Caballero,Southampton,ar ARG,GK,39.0,2,180.0,0.0,0.0,0.0,1.0,0.0,0
William Smallbone,Southampton,ie IRL,MF,21.0,4,133.0,0.0,0.0,0.0,0.0,0.0,0
Hugo Lloris,Tottenham Hotspur,fr FRA,GK,34.0,38,3420.0,0.0,0.0,0.0,2.0,0.0,0
Harry Kane,Tottenham Hotspur,eng ENG,FW,28.0,37,3232.0,17.0,9.0,4.0,5.0,0.0,1
Pierre Højbjerg,Tottenham Hotspur,dk DEN,MF,25.0,36,3196.0,2.0,2.0,0.0,3.0,0.0,1
Eric Dier,Tottenham Hotspur,eng ENG,DF,27.0,35,3071.0,0.0,0.0,0.0,1.0,0.0,0
Son Heung-min,Tottenham Hotspur,kr KOR,FW,29.0,35,3006.0,23.0,7.0,0.0,2.0,0.0,1
Ben Davies,Tottenham Hotspur,wls WAL,DF,28.0,29,2538.0,1.0,1.0,0.0,6.0,0.0,1
Emerson,Tottenham Hotspur,br BRA,DF,22.0,31,2286.0,1.0,1.0,0.0,5.0,0.0,1
Sergio Reguilón,Tottenham Hotspur,es ESP,DF,24.0,25,1916.0,2.0,3.0,0.0,4.0,0.0,1
Cristian Romero,Tottenham Hotspur,ar ARG,DF,23.0,22,1844.0,1.0,0.0,0.0,8.0,0.0,1
Lucas Moura,Tottenham Hotspur,br BRA,FW,28.0,34,1775.0,2.0,6.0,0.0,4.0,0.0,1
Davinson Sánchez,Tottenham Hotspur,co COL,DF,25.0,23,1631.0,2.0,0.0,0.0,4.0,0.0,1
Rodrigo Bentancur,Tottenham Hotspur,uy URU,MF,24.0,17,1361.0,0.0,4.0,0.0,5.0,0.0,0
Oliver Skipp,Tottenham Hotspur,eng ENG,MF,20.0,18,1350.0,0.0,0.0,0.0,6.0,0.0,0
Dejan Kulusevski,Tottenham Hotspur,se SWE,MF,21.0,18,1261.0,5.0,8.0,0.0,3.0,0.0,1
Ryan Sessegnon,Tottenham Hotspur,eng ENG,DF,21.0,15,1047.0,0.0,2.0,0.0,2.0,0.0,0
Japhet Tanganga,Tottenham Hotspur,eng ENG,DF,22.0,11,735.0,0.0,0.0,0.0,4.0,1.0,0
Harry Winks,Tottenham Hotspur,eng ENG,MF,25.0,19,912.0,0.0,1.0,0.0,2.0,0.0,0
Matt Doherty,Tottenham Hotspur,ie IRL,DF,29.0,15,875.0,2.0,4.0,0.0,0.0,0.0,1
Dele Alli,Tottenham Hotspur,eng ENG,MF,25.0,10,657.0,1.0,0.0,1.0,1.0,0.0,1
Tanguy Ndombele,Tottenham Hotspur,fr FRA,MF,24.0,9,484.0,1.0,1.0,0.0,1.0,0.0,1
Steven Bergwijn,Tottenham Hotspur,nl NED,FW,23.0,25,565.0,3.0,1.0,0.0,1.0,0.0,1
Giovani Lo Celso,Tottenham Hotspur,ar ARG,MF,25.0,9,238.0,0.0,0.0,0.0,0.0,0.0,0
Bryan,Tottenham Hotspur,es ESP,FW,20.0,9,94.0,0.0,0.0,0.0,0.0,0.0,0
Joe Rodon,Tottenham Hotspur,wls WAL,DF,23.0,3,89.0,0.0,0.0,0.0,0.0,0.0,0
Dane Scarlett,Tottenham Hotspur,eng ENG,MF,17.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0
Moussa Sissoko,Watford,fr FRA,MF,31.0,36,3220.0,2.0,1.0,0.0,5.0,0.0,1
Emmanuel Dennis,Watford,ng NGA,FW,23.0,33,2581.0,10.0,6.0,0.0,9.0,1.0,1
Craig Cathcart,Watford,nir NIR,DF,32.0,31,2396.0,0.0,1.0,0.0,3.0,0.0,0
Joshua King,Watford,no NOR,FW,29.0,32,2248.0,5.0,3.0,1.0,5.0,0.0,1
Ben Foster,Watford,eng ENG,GK,38.0,26,2340.0,0.0,1.0,0.0,0.0,0.0,0
Kiko Femenía,Watford,es ESP,DF,30.0,27,2142.0,0.0,5.0,0.0,2.0,0.0,0
Juraj Kucka,Watford,sk SVK,MF,34.0,26,1920.0,1.0,1.0,0.0,5.0,1.0,1
Ismaila Sarr,Watford,sn SEN,FW,23.0,22,1861.0,5.0,2.0,0.0,2.0,0.0,1
Tom Cleverley,Watford,eng ENG,MF,31.0,28,1616.0,0.0,2.0,0.0,2.0,0.0,0
Samir Santos,Watford,br BRA,DF,26.0,19,1673.0,0.0,0.0,0.0,4.0,0.0,0
Hassane Kamara,Watford,ci CIV,DF,27.0,19,1623.0,1.0,0.0,0.0,5.0,1.0,1
Imran Louza,Watford,ma MAR,MF,22.0,20,1416.0,0.0,0.0,0.0,6.0,0.0,0
João Pedro,Watford,br BRA,FW,19.0,28,1644.0,3.0,1.0,0.0,1.0,0.0,1
William Troost-Ekong,Watford,ng NGA,DF,27.0,17,1390.0,0.0,0.0,0.0,3.0,0.0,0
Adam Masina,Watford,ma MAR,DF,27.0,15,1077.0,0.0,1.0,0.0,0.0,0.0,0
Christian Kabasele,Watford,be BEL,DF,30.0,16,1193.0,0.0,0.0,0.0,0.0,0.0,0
Daniel Bachmann,Watford,at AUT,GK,27.0,12,1080.0,0.0,0.0,0.0,0.0,0.0,0
Cucho,Watford,co COL,FW,22.0,25,1147.0,5.0,2.0,0.0,3.0,0.0,1
Jeremy Ngakia,Watford,eng ENG,DF,20.0,16,903.0,0.0,0.0,0.0,0.0,0.0,0
Edo Kayembe,Watford,cd COD,MF,22.0,13,799.0,0.0,0.0,0.0,0.0,0.0,0
Ken Sema,Watford,se SWE,MF,27.0,18,852.0,0.0,0.0,0.0,1.0,0.0,0
Danny Rose,Watford,eng ENG,DF,31.0,8,689.0,0.0,0.0,0.0,4.0,0.0,0
Francisco Sierralta,Watford,cl CHI,DF,24.0,5,427.0,0.0,0.0,0.0,0.0,0.0,0
Oghenekaro Etebo,Watford,ng NGA,MF,25.0,9,401.0,0.0,0.0,0.0,3.0,0.0,0
Ozan Tufan,Watford,tr TUR,MF,26.0,7,334.0,0.0,0.0,0.0,0.0,0.0,0
Samuel Kalu,Watford,ng NGA,FW,23.0,4,222.0,0.0,0.0,0.0,0.0,0.0,0
Nicolas Nkoulou,Watford,cm CMR,DF,31.0,3,168.0,0.0,0.0,0.0,0.0,0.0,0
Dan Gosling,Watford,eng ENG,MF,31.0,4,166.0,1.0,0.0,0.0,0.0,0.0,1
Ashley Fletcher,Watford,eng ENG,FW,25.0,3,30.0,0.0,0.0,0.0,0.0,0.0,0
Troy Deeney,Watford,eng ENG,FW,33.0,2,25.0,0.0,0.0,0.0,0.0,0.0,0
?ukasz Fabia?ski,West Ham United,pl POL,GK,36.0,37,3330.0,0.0,0.0,0.0,2.0,0.0,0
Declan Rice,West Ham United,eng ENG,MF,22.0,36,3179.0,1.0,4.0,0.0,8.0,0.0,1
Tomá Sou?ek,West Ham United,cz CZE,MF,26.0,35,3062.0,5.0,1.0,0.0,3.0,0.0,1
Jarrod Bowen,West Ham United,eng ENG,FW,24.0,36,2983.0,12.0,10.0,0.0,6.0,0.0,1
Michail Antonio,West Ham United,jm JAM,FW,31.0,36,2971.0,10.0,8.0,0.0,8.0,1.0,1
Pablo Fornals,West Ham United,es ESP,FW,25.0,36,2795.0,6.0,3.0,0.0,4.0,0.0,1
Aaron Cresswell,West Ham United,eng ENG,DF,31.0,31,2726.0,2.0,3.0,0.0,3.0,0.0,1
Craig Dawson,West Ham United,eng ENG,DF,31.0,34,2754.0,2.0,2.0,0.0,5.0,1.0,1
Saïd Benrahma,West Ham United,dz ALG,FW,25.0,32,2168.0,8.0,6.0,0.0,0.0,0.0,1
Vladimír Coufal,West Ham United,cz CZE,DF,28.0,28,2209.0,0.0,4.0,0.0,5.0,1.0,0
Kurt Zouma,West Ham United,fr FRA,DF,26.0,24,2078.0,1.0,0.0,0.0,1.0,0.0,1
Manuel Lanzini,West Ham United,ar ARG,MF,28.0,30,1786.0,5.0,3.0,3.0,2.0,0.0,1
Ben Johnson,West Ham United,eng ENG,DF,21.0,20,1397.0,1.0,0.0,0.0,1.0,0.0,1
Angelo Ogbonna,West Ham United,it ITA,DF,33.0,11,921.0,1.0,0.0,0.0,1.0,0.0,1
Issa Diop,West Ham United,fr FRA,DF,24.0,13,963.0,0.0,1.0,0.0,0.0,0.0,0
Arthur Masuaku,West Ham United,cd COD,DF,27.0,13,650.0,1.0,1.0,0.0,1.0,0.0,1
Nikola Vlai?,West Ham United,hr CRO,FW,23.0,19,560.0,1.0,0.0,0.0,0.0,0.0,1
Mark Noble,West Ham United,eng ENG,MF,34.0,11,332.0,1.0,0.0,1.0,0.0,0.0,1
Ryan Fredericks,West Ham United,eng ENG,DF,28.0,7,307.0,0.0,0.0,0.0,1.0,0.0,0
Andriy Yarmolenko,West Ham United,ua UKR,FW,31.0,19,316.0,1.0,0.0,0.0,1.0,0.0,1
Alphonse Areola,West Ham United,fr FRA,GK,28.0,1,90.0,0.0,0.0,0.0,0.0,0.0,0
Harrison Ashby,West Ham United,sct SCO,DF,19.0,1,7.0,0.0,0.0,0.0,0.0,0.0,0
Sonny Perkins,West Ham United,eng ENG,FW,17.0,1,4.0,0.0,0.0,0.0,0.0,0.0,0
Daniel Chesters,West Ham United,eng ENG,MF,19.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0
Alex Král,West Ham United,cz CZE,MF,23.0,1,1.0,0.0,0.0,0.0,0.0,0.0,0
Conor Coady,Wolverhampton Wanderers,eng ENG,DF,28.0,38,3361.0,4.0,0.0,0.0,4.0,0.0,1
José Sá,Wolverhampton Wanderers,pt POR,GK,28.0,37,3285.0,0.0,1.0,0.0,3.0,0.0,0
João Moutinho,Wolverhampton Wanderers,pt POR,MF,34.0,35,2970.0,2.0,1.0,0.0,4.0,0.0,1
Romain Saïss,Wolverhampton Wanderers,ma MAR,DF,31.0,31,2705.0,2.0,0.0,0.0,6.0,0.0,1
Rúben Neves,Wolverhampton Wanderers,pt POR,MF,24.0,33,2661.0,4.0,2.0,0.0,9.0,0.0,1
Max Kilman,Wolverhampton Wanderers,eng ENG,DF,24.0,30,2687.0,1.0,0.0,0.0,3.0,0.0,1
Raúl Jiménez,Wolverhampton Wanderers,mx MEX,FW,30.0,34,2631.0,6.0,4.0,1.0,9.0,2.0,1
Nélson Semedo,Wolverhampton Wanderers,pt POR,DF,27.0,25,2131.0,0.0,1.0,0.0,1.0,0.0,0
Leander Dendoncker,Wolverhampton Wanderers,be BEL,MF,26.0,30,1950.0,2.0,2.0,0.0,4.0,0.0,1
Rayan Aït Nouri,Wolverhampton Wanderers,fr FRA,DF,20.0,23,1828.0,1.0,2.0,0.0,4.0,0.0,1
Hwang Hee-chan,Wolverhampton Wanderers,kr KOR,FW,25.0,30,1816.0,5.0,1.0,0.0,2.0,0.0,1
Fernando Marçal,Wolverhampton Wanderers,br BRA,DF,32.0,18,1449.0,0.0,0.0,0.0,3.0,0.0,0
Francisco Trincão,Wolverhampton Wanderers,pt POR,FW,21.0,28,1336.0,2.0,1.0,0.0,0.0,0.0,1
Daniel Podence,Wolverhampton Wanderers,pt POR,FW,25.0,26,1484.0,2.0,3.0,0.0,2.0,0.0,1
Adama Traoré,Wolverhampton Wanderers,es ESP,FW,25.0,20,1067.0,1.0,0.0,0.0,0.0,0.0,1
Jonny Castro,Wolverhampton Wanderers,es ESP,DF,27.0,13,1024.0,2.0,0.0,0.0,1.0,0.0,1
Willy Boly,Wolverhampton Wanderers,ci CIV,DF,30.0,10,900.0,0.0,0.0,0.0,1.0,0.0,0
Fábio Silva,Wolverhampton Wanderers,pt POR,FW,19.0,22,572.0,0.0,0.0,0.0,0.0,0.0,0
Pedro Neto,Wolverhampton Wanderers,pt POR,FW,21.0,13,466.0,1.0,1.0,0.0,3.0,0.0,1
Toti Gomes,Wolverhampton Wanderers,pt POR,DF,22.0,4,360.0,0.0,0.0,0.0,1.0,0.0,0
Ki-Jana Hoever,Wolverhampton Wanderers,nl NED,DF,19.0,8,308.0,0.0,0.0,0.0,1.0,0.0,0
Luke Cundle,Wolverhampton Wanderers,eng ENG,MF,19.0,4,180.0,0.0,0.0,0.0,0.0,0.0,0
Chiquinho,Wolverhampton Wanderers,pt POR,DF,21.0,8,208.0,0.0,3.0,0.0,0.0,0.0,0
John Ruddy,Wolverhampton Wanderers,eng ENG,GK,34.0,2,135.0,0.0,0.0,0.0,0.0,0.0,0
Chem Campbell,Wolverhampton Wanderers,wls WAL,MF,18.0,1,13.0,0.0,0.0,0.0,0.0,0.0,0
Morgan Gibbs-White,Wolverhampton Wanderers,eng ENG,FW,21.0,2,9.0,0.0,0.0,0.0,1.0,0.0,0
